name,latitude,longitude,locatable_type,image,description,address
104,Accrediting Council on Education in Journalism,,Department,,,
107,"Academic Achievement & Access Center
Accessibility Resources/Academic Achievement & Access Center
Arts",,Department,,,
109,Accounting & Information Systems,,Department,,,
111,Central Plains Center for BioAssessment,,Department,,,
112,Visitor Center,,Department,,,
119,Dolph Simons Jr. Media Room,,Department,,,
122,Counseling & Psychological Services (CAPS),,Department,,,
124,African Studies International Collection,,Department,,,
125,Academic Resource Center,,Department,,,
128,KU Innovation & Collaboration,,Department,,,
2,Student-Athlete Support Services,,Department,,,
6,Government Information Resources,,Department,,,
8,Hawk Food Stops,,Department,,,
10,American Studies Program,,Department,,,
13,Institute for Policy & Social Research,,Department,,,
18,Center for Online & Distance Learning,,Department,,,
19,KU Bookstore,,Department,,,
20,Comptroller's Office,,Department,,,
29,Biobehavioral Neurosciences in Communications Disorders,,Department,,,
31,Biodiversity Institute: Natural History Museum,,Department,,,
32,Department of Electrical Engineering & Computer Science,,Department,,,
37,Psychological Clinic,,Department,,,
40,"Legal Aid Clinic/School of Law
Libraries",,Department,,,
44,Department of Ecology & Evolutionary Biology,,Department,,,
49,Department of Curriculum & Teaching,,Department,,,
51,Ballroom,,Department,,,
56,Department of Aerospace Engineering,,Department,,,
60,Department of Geology,,Department,,,
61,Indigenous Studies Program,,Department,,,
64,Department of Architecture,,Department,,,
71,Army Reserved Officer Training Corps,,Department,,,
74,Center for Bioinformatics,,Department,,,
75,Crafton-Preyer Theatre,,Department,,,
76,Communications & Networking Systems Laboratory,,Department,,,
86,Robert J. Dole Archive & Special Collections,,Department,,,
87,Department of Health; Sport & Exercise Science,,Department,,,
89,Department Of Pharmacy Practice,,Department,,,
96,Environmental Studies Program,,Department,,,
99,Kansas Collection,,Department,,,
100,Archaeology Division,,Department,,,
104,Bremner Editing Center,,Department,,,
107,"School of the
Bursar's Office
Chancellor",,Department,,,
109,Department of/School of Business Accounting,,Department,,,
111,Kansas Applied Remote Sensing Program,,Department,,,
122,Ralph I. Canuteson Memorial Library,,Department,,,
124,Conservation/Preservation/KU Libraries,,Department,,,
125,Department of Ermal Garinger Chemistry,,Department,,,
2,Ticket Offices,,Department,,,
6,Hawk Food Stops,,Department,,,
10,Department of Communication Studies,,Department,,,
19,Legal Services for Students,,Department,,,
20,Design & Construction Management,,Department,,,
29,"Center for
Child & Family Services Clinic",,Department,,,
31,Biodiversity Modeling & Policy Division,,Department,,,
37,Department of Psychology,,Department,,,
40,Raymond F. Rice Reading Room,,Department,,,
44,Genetics Program,,Department,,,
49,School of Education,,Department,,,
51,Commerce Bank,,Department,,,
56,"Bioengineering Research Center
Department of Chemical & Petroleum Engineering",,Department,,,
61,Museum Studies Program,,Department,,,
64,School of Architecture; Design & Planning,,Department,,,
75,Hawk Food Stops,,Department,,,
76,Computer Systems Design Laboratory,,Department,,,
99,Libraries,,Department,,,
104,William Allen White School of Journalism & Mass Communications,,Department,,,
107,"Office of the
College of Liberal Arts & Sciences (CLAS)
College Student Academic Services Office
First-Year Experience
Graduate Military Programs",,Department,,,
109,Center for Applied Economics,,Department,,,
111,Kansas Biological Survey,,Department,,,
122,Student Health Services,,Department,,,
124,Institute for Digital Research in the Humanities,,Department,,,
125,Department of Classics,,Department,,,
6,Instructional Services,,Department,,,
10,Center for East Asian Studies,,Department,,,
19,Trademark Licensing Office,,Department,,,
20,Department of Human Resources,,Department,,,
29,Child Language Doctoral Program,,Department,,,
31,Herpetology Division,,Department,,,
44,John T. Stewart Children?s Center,,Department,,,
49,Department of Educational Leadership & Policy Studies,,Department,,,
51,Emily Taylor Center for Women & Gender Equity,,Department,,,
56,Department of Civil; Environmental & Architectural Engineering,,Department,,,
61,Office of Study Abroad,,Department,,,
64,Department of Design,,Department,,,
75,Inge Memorial Theatre (William Inge),,Department,,,
76,Information & Telecommunication Technology Center,,Department,,,
99,Special Collections,,Department,,,
104,Journalism Career Center,,Department,,,
107,Graduate Studies,,Department,,,
109,Department of Business Administration,,Department,,,
124,Center for Digital Scholarship,,Department,,,
125,Department of East Asian Languages & Cultures,,Department,,,
6,Learning Studio Libraries,,Department,,,
10,Global & International Studies Program,,Department,,,
20,Institutional Opportunity & Access,,Department,,,
29,Clinical Child Psychology Program,,Department,,,
31,Ichthyology Division,,Department,,,
44,Department of Molecular Biosciences,,Department,,,
49,Center for Educational Testing & Evaluation,,Department,,,
51,Event Services,,Department,,,
56,School of Engineering,,Department,,,
75,Libraries,,Department,,,
76,Radar Systems & Remote Sensing Lab,,Department,,,
104,Journalism Resource Center,,Department,,,
107,Hawk Food Stops,,Department,,,
109,School of Business,,Department,,,
124,East Asian Library,,Department,,,
125,Department of English,,Department,,,
6,Thomas R. Smith Map Collection,,Department,,,
10,Center for Global & International Studies,,Department,,,
20,Instructional Development & Support,,Department,,,
29,Data Services,,Department,,,
31,Informatics Division,,Department,,,
44,Paleobotany Division,,Department,,,
49,Ernst & Young Center for Auditing Research & Advanced Technology,,Department,,,
51,Hawk Shop convenience store,,Department,,,
56,Infrastructure Research Institute,,Department,,,
75,Music & Dance Library (Thomas Gorton),,Department,,,
104,Kansas Scholastic Press Association,,Department,,,
107,International Programs,,Department,,,
109,Department of/School of Business Finance,,Department,,,
124,GIS & Numeric Data Lab,,Department,,,
125,Department of French & Italian,,Department,,,
10,Humanities & Western Civilization Program,,Department,,,
29,Edna A. Hill Child Development Center,,Department,,,
31,Invertebrate Zoology Division,,Department,,,
44,Parasitology Division,,Department,,,
49,Hawk Food Stops,,Department,,,
51,Hawk's Nest,,Department,,,
56,Intelligent Systems & Automation Lab,,Department,,,
75,School of Music,,Department,,,
107,International Student & Scholar Services,,Department,,,
109,Information Systems/Department of Management & Leadership,,Department,,,
124,Hawk Food Stops,,Department,,,
125,Department of Germanic Languages & Literatures,,Department,,,
10,Kansas African Studies Center,,Department,,,
29,Gerontology Center/Life Span Institute,,Department,,,
31,Mammalogy Division,,Department,,,
49,Learning Resource Center,,Department,,,
51,Impromptu Café,,Department,,,
56,Department of Mechanical Engineering,,Department,,,
75,Richard M. Wright Jazz Archives,,Department,,,
107,Office of the Provost,,Department,,,
109,Department of/School of Business Marketing,,Department,,,
124,Instructional Services,,Department,,,
125,Hawk Shop convenience store,,Department,,,
10,Center for Latin American Studies,,Department,,,
29,Information Services Program,,Department,,,
31,Natural History Museum,,Department,,,
49,Center for Psychoeducational Services,,Department,,,
51,"Jaybowl
Jayhawk Ink",,Department,,,
56,Tertiary Oil Recovery Project,,Department,,,
75,Robert F. Baustian Theatre,,Department,,,
107,Office of Public Affairs,,Department,,,
124,Libraries,,Department,,,
125,Department of History,,Department,,,
10,Peace & Conflict Studies,,Department,,,
29,Kansas Institute for Positive Behavior Support,,Department,,,
31,Ornithology Division,,Department,,,
49,Department of Psychology & Research in Education,,Department,,,
51,KU Bookstore,,Department,,,
75,Seaver Opera Archive (James Seaver),,Department,,,
107,Office of the University Registrar,,Department,,,
124,Center for Research Methods & Data Analysis,,Department,,,
125,Jewish Studies Program,,Department,,,
10,Center for Russian; East European & Eurasian Studies,,Department,,,
29,Kansas University Center on Developmental Disabilities,,Department,,,
31,Vertebrate Paleontology,,Department,,,
49,Center for Research on Learning,,Department,,,
51,KU Card Center,,Department,,,
75,Swarthout Recital Hall,,Department,,,
107,Self Graduate Fellowship,,Department,,,
124,Slavic & Eurasian Studies Department,,Department,,,
125,Department of Philosophy,,Department,,,
29,Life Span Studies Institute,,Department,,,
51,KU Info,,Department,,,
75,Department of Theatre,,Department,,,
107,Center for Service Learning,,Department,,,
125,School of Public Affairs & Administration,,Department,,,
29,Merrill Advanced Studies Center,,Department,,,
51,Pulse Coffee,,Department,,,
75,Ticket Offices,,Department,,,
107,Student Affairs,,Department,,,
125,Department of Slavic Languages & Literatures,,Department,,,
29,Research & Training Center on Independent Living,,Department,,,
51,Student Involvement & Leadership Center,,Department,,,
107,Tutoring Services/Academic Achievement & Access Center,,Department,,,
125,Department of Spanish & Portuguese,,Department,,,
29,Schiefelbusch Institute for Life Span Studies,,Department,,,
51,Student Senate,,Department,,,
107,Undergraduate Advising Center,,Department,,,
29,Center for Science Education,,Department,,,
51,Student Union Activities (SUA),,Department,,,
29,Department of Speech-Language-Hearing: Sciences & Disorders,,Department,,,
51,The Market,,Department,,,
29,Stan & Madeline Stauffer Multimedia Newsroom,,Department,,,
51,Ticket Offices,,Department,,,
1,Alumni Association,,Department,,,
3,KU Recreation Services,,Department,,,
5,Anderson Family Strength & Conditioning Center,,Department,,,
7,Bill Easton Track,,Department,,,
9,Kansas Public Radio (KPR),,Department,,,
17,Kansas Public Radio (KPR),,Department,,,
25,Student Housing,,Department,,,
36,Monarch Watch,,Department,,,
41,Hall Center for the Humanities,,Department,,,
46,Hilltop Child Development Center,,Department,,,
58,Libraries,,Department,,,
66,Max Kade Center for German-American Studies,,Department,,,
67,Department of Pharmaceutical Chemistry,,Department,,,
69,Memorial Carillon & Campanile,,Department,,,
77,University Honors Program,,Department,,,
78,Department of Film & Media Studies,,Department,,,
83,Higuchi Biosciences Center,,Department,,,
88,Office of Multicultural Affairs,,Department,,,
91,Molecular Structures Group,,Department,,,
93,Higuchi Biosciences Center,,Department,,,
94,Higuchi Biosciences Center,,Department,,,
108,Max Kade Center for German-American Studies,,Department,,,
113,School of Social Welfare,,Department,,,
115,University Press of Kansas,,Department,,,
116,University Press of Kansas,,Department,,,
118,Visitor Center,,Department,,,
126,Marketing Communications,,Department,,,
212,30,,RouteAssignment,,,
212,10,,RouteAssignment,,,
213,30,,RouteAssignment,,,
213,10,,RouteAssignment,,,
214,11,,RouteAssignment,,,
214,41,,RouteAssignment,,,
215,11,,RouteAssignment,,,
216,41,,RouteAssignment,,,
217,41,,RouteAssignment,,,
218,41,,RouteAssignment,,,
219,41,,RouteAssignment,,,
220,41,,RouteAssignment,,,
221,41,,RouteAssignment,,,
222,41,,RouteAssignment,,,
223,43,,RouteAssignment,,,
224,43,,RouteAssignment,,,
225,11,,RouteAssignment,,,
225,41,,RouteAssignment,,,
226,11,,RouteAssignment,,,
226,41,,RouteAssignment,,,
227,10,,RouteAssignment,,,
227,29,,RouteAssignment,,,
227,30,,RouteAssignment,,,
227,43,,RouteAssignment,,,
228,11,,RouteAssignment,,,
228,38,,RouteAssignment,,,
229,10,,RouteAssignment,,,
229,11,,RouteAssignment,,,
229,29,,RouteAssignment,,,
229,30,,RouteAssignment,,,
229,41,,RouteAssignment,,,
229,43,,RouteAssignment,,,
230,10,,RouteAssignment,,,
230,29,,RouteAssignment,,,
230,30,,RouteAssignment,,,
230,43,,RouteAssignment,,,
231,11,,RouteAssignment,,,
231,41,,RouteAssignment,,,
231,710,,RouteAssignment,,,
232,11,,RouteAssignment,,,
233,27,,RouteAssignment,,,
233,38,,RouteAssignment,,,
234,27,,RouteAssignment,,,
234,38,,RouteAssignment,,,
235,42,,RouteAssignment,,,
236,42,,RouteAssignment,,,
237,42,,RouteAssignment,,,
238,27,,RouteAssignment,,,
238,41,,RouteAssignment,,,
238,42,,RouteAssignment,,,
239,27,,RouteAssignment,,,
239,41,,RouteAssignment,,,
239,42,,RouteAssignment,,,
240,36,,RouteAssignment,,,
240,42,,RouteAssignment,,,
241,42,,RouteAssignment,,,
242,42,,RouteAssignment,,,
243,42,,RouteAssignment,,,
244,10,,RouteAssignment,,,
244,11,,RouteAssignment,,,
244,27,,RouteAssignment,,,
244,29,,RouteAssignment,,,
244,30,,RouteAssignment,,,
244,41,,RouteAssignment,,,
244,42,,RouteAssignment,,,
244,43,,RouteAssignment,,,
245,10,,RouteAssignment,,,
245,11,,RouteAssignment,,,
245,29,,RouteAssignment,,,
245,30,,RouteAssignment,,,
245,36,,RouteAssignment,,,
245,38,,RouteAssignment,,,
245,43,,RouteAssignment,,,
246,10,,RouteAssignment,,,
246,11,,RouteAssignment,,,
246,29,,RouteAssignment,,,
246,30,,RouteAssignment,,,
246,36,,RouteAssignment,,,
246,38,,RouteAssignment,,,
246,41,,RouteAssignment,,,
246,42,,RouteAssignment,,,
246,43,,RouteAssignment,,,
247,10,,RouteAssignment,,,
247,11,,RouteAssignment,,,
247,29,,RouteAssignment,,,
247,30,,RouteAssignment,,,
247,36,,RouteAssignment,,,
247,38,,RouteAssignment,,,
247,43,,RouteAssignment,,,
248,10,,RouteAssignment,,,
248,11,,RouteAssignment,,,
248,29,,RouteAssignment,,,
248,30,,RouteAssignment,,,
248,36,,RouteAssignment,,,
248,38,,RouteAssignment,,,
248,43,,RouteAssignment,,,
249,42,,RouteAssignment,,,
249,43,,RouteAssignment,,,
10,NULL,NULL,Route,,,
11,NULL,NULL,Route,,,
27,NULL,NULL,Route,,,
29,NULL,NULL,Route,,,
30,NULL,NULL,Route,,,
36,NULL,NULL,Route,,,
38,NULL,NULL,Route,,,
41,NULL,NULL,Route,,,
42,NULL,NULL,Route,,,
43,NULL,NULL,Route,,,
710,NULL,NULL,Route,,,
